date,apprehended,cbp_custody,transferred_out,hhs_care,discharged,apprehended_outlier,cbp_custody_outlier,transferred_out_outlier,hhs_care_outlier,discharged_outlier,day,month,year,quarter,week_number,day_of_week,is_weekend,day_of_year,month_sin,month_cos,dow_sin,dow_cos,apprehended_lag_1,apprehended_lag_3,apprehended_lag_7,apprehended_lag_14,apprehended_lag_30,cbp_custody_lag_1,cbp_custody_lag_3,cbp_custody_lag_7,cbp_custody_lag_14,cbp_custody_lag_30,transferred_out_lag_1,transferred_out_lag_3,transferred_out_lag_7,transferred_out_lag_14,transferred_out_lag_30,hhs_care_lag_1,hhs_care_lag_3,hhs_care_lag_7,hhs_care_lag_14,hhs_care_lag_30,discharged_lag_1,discharged_lag_3,discharged_lag_7,discharged_lag_14,discharged_lag_30,apprehended_roll_3_mean,apprehended_roll_3_std,apprehended_roll_3_max,apprehended_roll_3_min,apprehended_roll_7_mean,apprehended_roll_7_std,apprehended_roll_7_max,apprehended_roll_7_min,apprehended_roll_14_mean,apprehended_roll_14_std,apprehended_roll_14_max,apprehended_roll_14_min,apprehended_roll_30_mean,apprehended_roll_30_std,apprehended_roll_30_max,apprehended_roll_30_min,cbp_custody_roll_3_mean,cbp_custody_roll_3_std,cbp_custody_roll_3_max,cbp_custody_roll_3_min,cbp_custody_roll_7_mean,cbp_custody_roll_7_std,cbp_custody_roll_7_max,cbp_custody_roll_7_min,cbp_custody_roll_14_mean,cbp_custody_roll_14_std,cbp_custody_roll_14_max,cbp_custody_roll_14_min,cbp_custody_roll_30_mean,cbp_custody_roll_30_std,cbp_custody_roll_30_max,cbp_custody_roll_30_min,transferred_out_roll_3_mean,transferred_out_roll_3_std,transferred_out_roll_3_max,transferred_out_roll_3_min,transferred_out_roll_7_mean,transferred_out_roll_7_std,transferred_out_roll_7_max,transferred_out_roll_7_min,transferred_out_roll_14_mean,transferred_out_roll_14_std,transferred_out_roll_14_max,transferred_out_roll_14_min,transferred_out_roll_30_mean,transferred_out_roll_30_std,transferred_out_roll_30_max,transferred_out_roll_30_min,hhs_care_roll_3_mean,hhs_care_roll_3_std,hhs_care_roll_3_max,hhs_care_roll_3_min,hhs_care_roll_7_mean,hhs_care_roll_7_std,hhs_care_roll_7_max,hhs_care_roll_7_min,hhs_care_roll_14_mean,hhs_care_roll_14_std,hhs_care_roll_14_max,hhs_care_roll_14_min,hhs_care_roll_30_mean,hhs_care_roll_30_std,hhs_care_roll_30_max,hhs_care_roll_30_min,discharged_roll_3_mean,discharged_roll_3_std,discharged_roll_3_max,discharged_roll_3_min,discharged_roll_7_mean,discharged_roll_7_std,discharged_roll_7_max,discharged_roll_7_min,discharged_roll_14_mean,discharged_roll_14_std,discharged_roll_14_max,discharged_roll_14_min,discharged_roll_30_mean,discharged_roll_30_std,discharged_roll_30_max,discharged_roll_30_min,apprehended_daily_growth,apprehended_pct_change,apprehended_momentum,apprehended_velocity,apprehended_roc_7,cbp_custody_daily_growth,cbp_custody_pct_change,cbp_custody_momentum,cbp_custody_velocity,cbp_custody_roc_7,transferred_out_daily_growth,transferred_out_pct_change,transferred_out_momentum,transferred_out_velocity,transferred_out_roc_7,hhs_care_daily_growth,hhs_care_pct_change,hhs_care_momentum,hhs_care_velocity,hhs_care_roc_7,discharged_daily_growth,discharged_pct_change,discharged_momentum,discharged_velocity,discharged_roc_7,transfer_efficiency_ratio,discharge_effectiveness,pipeline_throughput,backlog_accumulation,cumulative_backlog,net_hhs_flow,cbp_processing_rate,custody_change,hhs_care_change,anomaly_label,anomaly_score,is_anomaly,anomaly_type
2023-03-08,113,208,159,7885,291,False,False,False,False,False,8,3,2023,1,10,2,0,67,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,88.0,84.0,101.0,186.0,33.0,214.0,158.0,162.0,259.0,53.0,160.0,193.0,178.0,172.0,34.0,7859.0,7930.0,7914.0,7483.0,6566.0,259.0,307.0,386.0,244.0,436.0,110.33333333333333,21.12660250332103,130.0,88.0,113.71428571428571,28.48224175232871,167.0,84.0,123.07142857142857,40.26539702774824,209.0,81.0,83.83333333333333,58.09450287564063,209.0,11.0,216.33333333333334,9.712534856222092,227.0,208.0,207.42857142857142,26.59484375373763,239.0,158.0,218.92857142857142,41.41620694610017,314.0,158.0,145.33333333333334,97.71716163581974,314.0,13.0,170.33333333333334,18.770544300401415,192.0,159.0,173.57142857142858,14.12866050335434,193.0,159.0,183.5,24.1748438862194,230.0,153.0,119.43333333333334,77.9680232125848,230.0,11.0,7871.333333333333,13.051181300310361,7885.0,7859.0,7835.571428571428,107.50636747475812,7930.0,7609.0,7855.785714285715,92.95919582220915,7978.0,7609.0,7735.166666666667,220.14651599729436,7978.0,7122.0,295.0,38.15756805667777,335.0,259.0,280.42857142857144,47.58801369692832,335.0,200.0,276.92857142857144,59.766808753449645,386.0,200.0,259.8333333333333,64.28926189809849,386.0,158.0,25.0,0.28409090909090917,67.0,0.3457140965170903,0.11881188118811892,-6.0,-0.028037383177570097,7.0,-0.40572384254127775,0.28395061728395055,-1.0,-0.006249999999999978,31.0,-4.662368157621729,-0.1067415730337079,26.0,0.0033083089451584335,37.0,6.885213954177816,-0.0036643922163255294,32.0,0.12355212355212353,108.0,2.4197284934895116,-0.24611398963730569,0.7644230769230769,0.03690551680405834,2.575221238938053,-178,-5683,-132,0.7644230769230769,-6.0,26.0,1,0.16461720900205967,0,normal
2023-03-09,174,285,150,7786,340,False,False,False,False,False,9,3,2023,1,10,3,0,68,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,113.0,130.0,99.0,154.0,32.0,208.0,227.0,190.0,225.0,49.0,159.0,192.0,176.0,220.0,39.0,7885.0,7870.0,7609.0,7794.0,7122.0,291.0,335.0,323.0,223.0,227.0,125.0,44.23799272118929,174.0,88.0,124.42857142857143,35.31221291497295,174.0,84.0,124.5,41.77365750731507,209.0,81.0,88.56666666666666,59.493658504910016,209.0,11.0,235.66666666666666,42.82911782109608,285.0,208.0,221.0,38.00877091760098,285.0,158.0,223.21428571428572,45.03875010464888,314.0,158.0,153.2,99.1830074433985,314.0,13.0,156.33333333333334,5.507570547285998,160.0,150.0,169.85714285714286,16.58743069745446,193.0,150.0,178.5,23.266846667439854,230.0,150.0,123.13333333333334,76.64190504675234,230.0,11.0,7843.333333333333,51.32575701666326,7885.0,7786.0,7860.857142857143,51.6282499265157,7930.0,7786.0,7855.214285714285,93.39179553112369,7978.0,7609.0,7757.3,187.30247526762452,7978.0,7280.0,296.6666666666667,40.79624165696306,340.0,259.0,282.85714285714283,50.46922683321834,340.0,200.0,285.2857142857143,59.82593799634783,386.0,200.0,263.6,65.59625725235581,386.0,158.0,61.0,0.5398230088495575,36.0,15.51131680116008,0.7575757575757576,77.0,0.3701923076923077,83.0,18.94829932952749,0.5,-9.0,-0.05660377358490565,-8.0,-5.746921379552251,-0.1477272727272727,-99.0,-0.012555485098287855,-125.0,-19.589635484828953,0.023261926665790522,49.0,0.16838487972508598,17.0,14.066356279467223,0.05263157894736836,0.5263157894736842,0.043668122270742356,1.9540229885057472,-166,-5849,-190,0.5263157894736842,77.0,-99.0,1,0.09894278096368181,0,normal
2023-03-13,104,230,206,7567,249,False,False,False,False,False,13,3,2023,1,11,0,0,72,1.0,6.123233995736766e-17,0.0,1.0,174.0,88.0,167.0,91.0,32.0,285.0,214.0,239.0,199.0,50.0,150.0,160.0,166.0,172.0,39.0,7786.0,7859.0,7800.0,7869.0,7280.0,340.0,259.0,248.0,290.0,181.0,130.33333333333334,38.08324215889885,174.0,104.0,115.42857142857143,30.330716789294357,174.0,84.0,125.42857142857143,41.11094611061499,209.0,81.0,90.96666666666667,58.57826084545496,209.0,11.0,241.0,39.66106403010384,285.0,208.0,219.71428571428572,37.446469729977196,285.0,158.0,225.42857142857142,44.51570904353147,314.0,158.0,159.2,98.16397260319786,314.0,13.0,171.66666666666666,30.07213549672408,206.0,150.0,175.57142857142858,21.2670099987213,206.0,150.0,180.92857142857142,24.288219004644727,230.0,150.0,128.7,76.38475655837857,230.0,11.0,7746.0,162.7298374607442,7885.0,7567.0,7827.571428571428,123.07566391296788,7930.0,7567.0,7833.642857142857,120.81429305588514,7978.0,7567.0,7766.866666666667,168.4654335430575,7978.0,7433.0,293.3333333333333,45.544849690533916,340.0,249.0,283.0,50.35540354983421,340.0,200.0,282.35714285714283,60.57621663638312,386.0,200.0,265.8666666666667,63.79370487445604,386.0,158.0,-70.0,-0.4022988505747126,-131.0,-5.868660069668467,-0.3772455089820359,-55.0,-0.19298245614035092,-132.0,0.459367239068146,-0.03765690376569042,56.0,0.3733333333333333,65.0,9.691359778127058,0.24096385542168686,-219.0,-0.02812740816850756,-120.0,-69.44723493042663,-0.02987179487179492,-91.0,-0.26764705882352946,-140.0,-12.202871598061689,0.0040322580645162365,0.8956521739130435,0.032906039381525046,2.394230769230769,-145,-5994,-43,0.8956521739130435,-55.0,-219.0,1,0.17057797282023357,0,normal
2023-03-14,147,276,214,7810,181,False,False,False,False,False,14,3,2023,1,11,1,0,73,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,104.0,113.0,115.0,81.0,47.0,230.0,208.0,216.0,213.0,42.0,206.0,159.0,169.0,153.0,47.0,7567.0,7885.0,7896.0,7793.0,7433.0,249.0,291.0,200.0,361.0,175.0,141.66666666666666,35.303446479534124,174.0,104.0,120.0,32.583226768794226,174.0,84.0,130.14285714285714,39.37171406139017,209.0,84.0,94.3,58.83474811883618,209.0,11.0,263.6666666666667,29.501412395567257,285.0,230.0,228.28571428571428,42.9213011829569,285.0,158.0,229.92857142857142,46.31076347013523,314.0,158.0,167.0,97.82637681116479,314.0,13.0,190.0,34.87119154832538,214.0,150.0,182.0,25.357444666211872,214.0,150.0,185.28571428571428,24.363997939673165,230.0,150.0,134.26666666666668,76.31058738554196,230.0,11.0,7721.0,133.9066839257855,7810.0,7567.0,7815.285714285715,119.34224494524258,7930.0,7567.0,7834.857142857143,120.45928590374194,7978.0,7567.0,7779.433333333333,156.32562905310908,7978.0,7434.0,256.6666666666667,79.77677189090399,340.0,181.0,280.2857142857143,55.793411456055914,340.0,181.0,269.5,61.692475541686065,386.0,181.0,266.06666666666666,63.507769458619755,386.0,158.0,43.0,0.41346153846153855,113.0,6.349425449994735,0.27826086956521734,46.0,0.19999999999999996,101.0,11.845383243996352,0.2777777777777777,8.0,0.03883495145631066,-48.0,9.268487974721479,0.26627218934911245,243.0,0.032113122769922064,462.0,8.670459136075543,-0.010891590678824725,-68.0,-0.2730923694779116,23.0,-26.153204707146582,-0.09499999999999997,0.7753623188405797,0.023175416133162614,1.2312925170068028,-34,-6028,33,0.7753623188405797,46.0,243.0,1,0.16492879028754148,0,normal
2023-03-15,108,220,213,7915,286,False,False,False,False,False,15,3,2023,1,11,2,0,74,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,147.0,174.0,84.0,209.0,20.0,276.0,285.0,158.0,285.0,22.0,214.0,150.0,193.0,184.0,41.0,7810.0,7786.0,7930.0,7817.0,7538.0,181.0,340.0,307.0,209.0,180.0,119.66666666666667,23.75570107012903,147.0,104.0,123.42857142857143,29.25666387256727,174.0,88.0,122.92857142857143,32.45698759829759,184.0,84.0,97.23333333333333,57.172867530054816,209.0,11.0,242.0,29.866369046136118,276.0,220.0,237.14285714285714,30.63999875668284,285.0,208.0,225.28571428571428,43.540305944701856,314.0,158.0,173.6,94.32284982972048,314.0,13.0,211.0,4.358898943540569,214.0,206.0,184.85714285714286,27.81143992094238,214.0,150.0,187.35714285714286,25.454656949948525,230.0,150.0,140.0,75.51889464416082,230.0,11.0,7764.0,178.50210082797406,7915.0,7567.0,7813.142857142857,117.05188104913869,7915.0,7567.0,7841.857142857143,122.17695687488958,7978.0,7567.0,7792.0,151.32107905218257,7978.0,7434.0,238.66666666666666,53.25723737984659,286.0,181.0,277.2857142857143,54.67087672522502,340.0,181.0,275.0,59.26861927503649,386.0,181.0,269.6,61.470261943872316,386.0,158.0,-39.0,-0.26530612244897955,-82.0,-4.9885715602366,0.2857142857142858,-56.0,-0.2028985507246377,-102.0,-5.116921013344995,0.39240506329113933,-1.0,-0.004672897196261627,-9.0,6.701220918926794,0.10362694300518127,105.0,0.013444302176696565,-138.0,32.75420519183201,-0.001891551071878994,105.0,0.580110497237569,173.0,6.636949260549579,-0.0684039087947883,0.9681818181818181,0.0361339229311434,2.6481481481481484,-178,-6206,-73,0.9681818181818181,-56.0,105.0,1,0.15718619053571437,0,normal
2023-03-16,180,280,146,7989,308,False,False,False,False,False,16,3,2023,1,11,3,0,75,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,108.0,104.0,130.0,184.0,23.0,220.0,230.0,227.0,314.0,45.0,213.0,206.0,192.0,217.0,11.0,7915.0,7567.0,7870.0,7967.0,7472.0,286.0,249.0,335.0,213.0,303.0,145.0,36.041642581880154,180.0,108.0,130.57142857142858,36.367829844782456,180.0,88.0,122.64285714285714,31.890695876955757,180.0,84.0,102.46666666666667,57.32889584538128,209.0,11.0,258.6666666666667,33.54598833442427,280.0,220.0,244.71428571428572,34.07205250501888,285.0,208.0,222.85714285714286,38.91382420536065,285.0,158.0,181.43333333333334,93.02379500311524,314.0,13.0,191.0,38.97435053981014,214.0,146.0,178.28571428571428,31.084370594208476,214.0,146.0,182.28571428571428,26.157595077143146,230.0,146.0,144.5,71.481249048385,230.0,12.0,7904.666666666667,89.94628026401945,7989.0,7810.0,7830.142857142857,134.08756911240857,7989.0,7567.0,7843.428571428572,124.03765823063772,7989.0,7567.0,7809.233333333334,142.82173198234355,7989.0,7434.0,258.3333333333333,67.86997372427167,308.0,181.0,273.42857142857144,50.730849072522304,340.0,181.0,281.7857142857143,57.019805697303454,386.0,181.0,269.76666666666665,61.57063974136472,386.0,158.0,72.0,0.6666666666666667,111.0,14.259387026877498,0.3846153846153846,60.0,0.2727272727272727,116.0,11.16299915642458,0.23348017621145378,-67.0,-0.3145539906103286,-66.0,-11.724865178245762,-0.23958333333333337,74.0,0.00934933670246374,-31.0,43.066090894751824,0.015120711562897071,22.0,0.07692307692307687,-83.0,10.477874717561209,-0.08059701492537319,0.5214285714285715,0.03855301038928527,1.711111111111111,-128,-6334,-162,0.5214285714285715,60.0,74.0,1,0.13027022153824735,0,normal
2023-03-19,134,294,186,7885,306,False,False,False,False,False,19,3,2023,1,11,6,1,78,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,180.0,147.0,88.0,107.0,34.0,280.0,276.0,214.0,215.0,54.0,146.0,214.0,160.0,230.0,29.0,7989.0,7810.0,7859.0,7978.0,7743.0,308.0,181.0,259.0,232.0,196.0,140.66666666666666,36.46002377033413,180.0,108.0,137.14285714285714,31.17920552456171,180.0,104.0,124.57142857142857,31.687693038621315,180.0,84.0,105.8,56.104827993123116,209.0,11.0,264.6666666666667,39.31072796748146,294.0,220.0,256.14285714285717,35.44210570977489,294.0,208.0,228.5,43.18074713430652,294.0,158.0,189.43333333333334,92.00100574162906,314.0,13.0,181.66666666666666,33.70954365359063,213.0,146.0,182.0,30.072135496724044,214.0,146.0,179.14285714285714,22.349865402648113,214.0,146.0,149.73333333333332,68.41502826100435,230.0,12.0,7929.666666666667,53.52880844305732,7989.0,7885.0,7833.857142857143,135.37408488016308,7989.0,7567.0,7836.785714285715,118.64956713035093,7989.0,7567.0,7813.966666666666,142.9039907585237,7989.0,7434.0,300.0,12.16552506059601,308.0,286.0,280.14285714285717,51.605647531475135,340.0,181.0,287.07142857142856,55.45818145332471,386.0,181.0,273.43333333333334,60.28820627694902,386.0,158.0,-46.0,-0.25555555555555554,-118.0,-0.8059385627656253,0.5227272727272727,14.0,0.050000000000000044,-46.0,11.8722719106843,0.3738317757009346,40.0,0.273972602739726,107.0,1.2067621322527107,0.1625000000000001,-104.0,-0.013017899611966421,-178.0,6.298399555023083,0.0033083089451584335,-2.0,-0.00649350649350644,-24.0,7.358306886527852,0.18146718146718155,0.6326530612244898,0.03880786303107166,2.283582089552239,-172,-6506,-120,0.6326530612244898,14.0,-104.0,1,0.15085191293639577,0,normal
2023-03-20,202,313,158,7931,279,False,False,False,False,False,20,3,2023,1,12,0,0,79,1.0,6.123233995736766e-17,0.0,1.0,134.0,108.0,113.0,101.0,26.0,294.0,220.0,208.0,162.0,36.0,186.0,213.0,159.0,178.0,36.0,7885.0,7915.0,7885.0,7914.0,7803.0,306.0,286.0,291.0,386.0,158.0,172.0,34.6987031457949,202.0,134.0,149.85714285714286,37.248841464885764,202.0,104.0,131.78571428571428,36.96605214232393,202.0,84.0,111.66666666666667,56.67166982646215,209.0,11.0,295.6666666666667,16.563010998406302,313.0,280.0,271.14285714285717,33.85473168026675,313.0,220.0,239.28571428571428,44.140385435263525,313.0,158.0,198.66666666666666,89.94838877755488,314.0,13.0,163.33333333333334,20.526405757787508,186.0,146.0,181.85714285714286,30.201702884818502,214.0,146.0,177.71428571428572,23.056547781582555,214.0,146.0,153.8,64.96014693375604,230.0,12.0,7935.0,52.115256883183335,7989.0,7885.0,7840.428571428572,139.3291751487023,7989.0,7567.0,7838.0,119.58389395026222,7989.0,7567.0,7818.233333333334,144.46755591704058,7989.0,7434.0,297.6666666666667,16.19670748434149,308.0,279.0,278.42857142857144,51.38371059281047,340.0,181.0,279.42857142857144,47.5907461685475,340.0,181.0,277.46666666666664,56.20880611663508,386.0,181.0,68.0,0.5074626865671641,114.0,16.39595613379294,0.7876106194690264,19.0,0.06462585034013602,5.0,13.6542464114211,0.5048076923076923,-28.0,-0.15053763440860213,-68.0,-6.095102461428246,-0.0062893081761006275,46.0,0.005833861762840842,150.0,16.224036271922845,0.005833861762840842,-27.0,-0.08823529411764708,-25.0,-1.2314745968676852,-0.04123711340206182,0.5047923322683706,0.03517841381919052,1.381188118811881,-77,-6583,-121,0.5047923322683706,19.0,46.0,1,0.11699441052817394,0,normal
2023-03-21,110,272,193,8050,221,False,False,False,False,False,21,3,2023,1,12,1,0,80,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,202.0,180.0,174.0,99.0,25.0,313.0,280.0,285.0,190.0,32.0,158.0,146.0,150.0,176.0,27.0,7931.0,7989.0,7786.0,7609.0,7903.0,279.0,308.0,340.0,323.0,231.0,148.66666666666666,47.72141378179538,202.0,110.0,140.71428571428572,38.17815381303071,202.0,104.0,132.57142857142858,36.32696452565715,202.0,84.0,114.5,54.26292949372877,209.0,11.0,293.0,20.518284528683058,313.0,272.0,269.2857142857143,33.320235521948156,313.0,220.0,245.14285714285714,42.507659296897266,313.0,158.0,206.66666666666666,85.1592153206157,314.0,13.0,179.0,18.520259177452097,193.0,158.0,188.0,26.826603710993,214.0,146.0,178.92857142857142,23.404352934096252,214.0,146.0,159.33333333333334,60.718305671997804,230.0,12.0,7955.333333333333,85.14888920786662,8050.0,7885.0,7878.142857142857,156.77843024623877,8050.0,7567.0,7869.5,112.49461525574523,8050.0,7567.0,7823.133333333333,149.83502038353015,8050.0,7434.0,268.6666666666667,43.43193909248504,306.0,221.0,261.42857142857144,47.12698145385903,308.0,181.0,272.14285714285717,48.210846438179345,340.0,181.0,277.1333333333333,56.52264320962264,386.0,181.0,-92.0,-0.4554455445544554,-160.0,-10.703517394167951,-0.367816091954023,-41.0,-0.1309904153354633,-60.0,-0.00955947806094639,-0.04561403508771933,35.0,0.22151898734177222,63.0,4.178856835611692,0.2866666666666666,119.0,0.015004413062665423,73.0,41.9184865789247,0.03390701258669404,-58.0,-0.20788530465949817,-31.0,-15.423859684413928,-0.35,0.7095588235294118,0.02745341614906832,2.0090909090909093,-111,-6694,-28,0.7095588235294118,-41.0,119.0,1,0.17279898735060684,0,normal
2023-03-22,166,277,229,8097,246,False,False,False,False,False,22,3,2023,1,12,2,0,81,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,110.0,134.0,104.0,167.0,15.0,272.0,294.0,230.0,239.0,13.0,193.0,186.0,206.0,166.0,23.0,8050.0,7885.0,7567.0,7800.0,7879.0,221.0,306.0,249.0,248.0,298.0,159.33333333333334,46.36090306856986,202.0,110.0,149.57142857142858,35.326369484457125,202.0,108.0,132.5,36.25497313366923,202.0,84.0,119.53333333333333,51.655846104595064,209.0,11.0,287.3333333333333,22.3681320930767,313.0,272.0,276.0,28.46635440890409,313.0,220.0,247.85714285714286,43.29124470527344,313.0,158.0,215.46666666666667,77.77675095107628,314.0,18.0,193.33333333333334,35.50117368951809,229.0,158.0,191.28571428571428,30.54894589405814,229.0,146.0,183.42857142857142,26.569833344529034,229.0,146.0,166.2,56.25275472181876,230.0,12.0,8026.0,85.56284240253024,8097.0,7931.0,7953.857142857143,98.6887845222267,8097.0,7810.0,7890.714285714285,125.61873241704632,8097.0,7567.0,7830.4,157.71681300180978,8097.0,7434.0,248.66666666666666,29.09180869821151,279.0,221.0,261.0,47.27226106996215,308.0,181.0,272.0,48.290785870598505,340.0,181.0,275.4,56.657835687816274,386.0,181.0,56.0,0.509090909090909,148.0,5.972585560573408,0.5961538461538463,5.0,0.018382352941176405,46.0,1.2428471846999716,0.20434782608695645,36.0,0.18652849740932642,1.0,12.134249298817837,0.11165048543689315,47.0,0.005838509316770102,-72.0,43.18888196864609,0.07004096735826626,25.0,0.1131221719457014,83.0,-5.317759252830924,-0.012048192771084376,0.8267148014440433,0.030381622823267878,1.4819277108433735,-80,-6774,-17,0.8267148014440433,5.0,47.0,1,0.1674370130059702,0,normal
